,Review,tokens,Class
10,Me pareció muy simple y limitado en su oferta de productos. No se veía limpio.Lo que ahí se veía se encuentra en cualquier parte del país.,parecer simple limitado oferta producto limpio ahi encontrar cualquiera parte pais,3
11,"Un hotel agradable con una buena ubicación para recorrer el Centro Histórico de Puebla sin tener que usar el vehículo. Le hace falta un servicio de café de cortesía y la alberca es muy pequeña, pero nos funcionó muy bien para conocer algunos museos, iglesias y sitios de interés sin tener que hacer uso del vehículo.",agradable buen ubicacion recorrer centro historico puebla usar vehiculo falta servicio cafe cortesia alberca pequeno funcionar bien conocer museo iglesia sitio inter uso vehiculo,4
12,"Está bueno para visitar la iglesia perooo lo que vale mucho la pena son los restaurantes con la vista, me faltó probar la comida pero simplemente la vista vale la pena.Es un mirador natural y hay varias cosas para pasar la mañana.Es necesario llevar algo para el frío, incluso junta a la taquilla hay vendedores de bufandas y gorritos. Los necesitara! ⛄️",buen visitar iglesia peroer valer pena restaurante faltar probar simplemente valer pena mirador natural varios cosa pasar manana necesario llevar frio incluso junta taquilla vendedor bufanda gorrito necesitar,4
13,Hotel Meliá Habana es un hotel muy lujoso. Las habitaciones son espaciosas y están bien amuebladas con un cómodo baño. La piscina está muy bien y tiene un bar en la piscina. Hay un montón de tumbonas en el sol o en la sombra. El desayuno tiene una amplia variedad de elegantes opciones. Es una lástima para un hotel que la mayoría del personal es arrogante y muestran poco interés por sus huéspedes. Sólo los hombres del mantenimiento y las señoras de la limpieza era muy amable. Llegamos al hotel después de un largo viaje. Queríamos tomar un baño y cambiar nuestra ropa. Pero después flotan media hora nuestro equipaje no había traído a nuestra habitación y todavía estaba en el vestíbulo del hotel en el tranvía. Fui hasta el conserje y le preguntó si el equipaje podría ser llevados a…,melia habana lujoso espacioso bien amueblado comodo bano piscina bien bar piscina monton tumbona sol sombra desayuno amplio variedad elegante opción lastima mayoria personal arrogante mostrar inter huesped solo hombre mantenimiento senora limpieza amable despues largo viaje tomar bano cambiar ropa despues flotar medio hora equipaje traer todavia vestibulo tranvia conserje preguntar si equipaje llevar,3
14,"Primeramente me encantó el servicio, el personal esta realmente capacitado, me hospedé en las habitaciones más nuevas del hotel, pero el área de cabañas tiene una vista espectacular hacia el Popocateptl, tiene lugares realmente relajantes, el área donde sirven el desayuno es muy agradable. Puede ser un hotel familiar y bussines class. Sin dudarlo regresaría.",primeramente encanto servicio personal realmente capacitado hospedir nuevo area cabana espectacular hacia popocateptl realmente relajante area servir desayuno agradable familiar bussíne class dudar regresaria,5
15,"Paseo del Prado es una zona de paseo de la isla que lleva desde el Malecón hasta casi el Capitolo. Te puedes imaginar señoras y señores bien adobada, sin ensamblar paseos. por esta pasarela mostrando sus mejores armario la sombra de su sombrilla en la soleada tarde de primavera",paseo prado zona paseo isla llevar malecon casi capitolo imaginar senora senor bien adobado ensamblar paseo pasarela mostrar mejor armario sombra sombrilla soleado tarde primavera,3
16,"El paseo es muy bonito, pasas por abajo y por arriba de avenidas, lo q mas me impresiono fue la limpieza del agua, parece una alberca, es divertido y un paseo muy lindo! No se lo pierdan!!!",paseo bonito pasar abajo arriba avenida q impresionar limpieza agua parecer alberca divertido paseo lindo perder,3
17,"Todos los días que estuve tuve que bajar  y hasta tres veces porque no funcionan las llaves para abrir la habitación.  Además, había varios huéspedes sin cubrebocas y no respetan el número de personas en el elevador.  No volveremos a este hotel.",bajar vez funcionar llave abrir ademo varios huesped cubreboca respetar numero persona elevador volver,2
18,"Un hotel un poco antiguo, pero que cumple muy bien con lo que promete. Tiene un rico bar y piscina, además hay shows en las noches super buenos para pasar un buen momento. La gente del hotel es encantadora, lo que si es que el aire acondicionado suena demasiado, y diria por que hay habitaciones muy viejas. Muy limpio todo. Queda lejos de el centro de la ciudad eso si.",antiguo cumplir bien prometer rico bar piscina ademo show noche super buen pasar buen momento gente encantador si aire acondicionado sonar demasiado viejo limpio quedar lejos centro ciudad si,3
19,"El hotel en su generalidad está adecuado, limpio y habitaciones espaciosas, buen restaurante, y excelente ubicación, a pocos minutos de la zona centro y enfrente del parque Fundidora y Cintermex. Solo falta cuidar un poco el área de alberca.",generalidad adecuado limpio espacioso buen restaurante excelente ubicacion minuto zona centro enfrente parque fundidor cintermex solo faltar cuidar area alberca,4
20,"Estuve en este hotel hace unos dias,aparte de la excelente ubicación en el centro de la Habana Vieja no se lo recomiendo a nadie, Las habitaciones sucias, al igual que otros españoles comentamos que las colchas muy sucias o gastadas y las toallas con roturas u oxido como las mias daban asco, el desayuno pesimo ,comprendiendo que estabamos en Cuba  y hay carencias pero no pago por suciedad, como contrapartida diré que tiene una piscina que para despues de callejear no está mal ,a ese hotel no volveré",aparte excelente ubicacion centro habana viejo recomer nadie sucio igual espanol comentar colcha sucio gastado toalla rotura u oxido mia asco desayuno pesimo comprender cuba carencia pago suciedad contrapartida piscina callejear mal volver,1
21,tienen una buena variedad en el menú. son muy rápidos para atenderte y la comida y salsas tienen muy buen sabor.,buen variedad menu rapido atender salsa buen sabor,5
22,"Almorzamos allí durante la semana. No estaba muy lleno. El servicio estaba bien, la comida es regular, y mojitos fueron nada especial. Teníamos un buen almuerzo, pero esperaba más del lugar.
P. S. es bastante calor dentro.",almorzar alli semana lleno servicio bien regular mojito especial buen almuerzo esperar p s bastante calor dentro,3
23,"hay mucho olor en las habitaciones a algun producto quimico, el aire no funciona bien y hace ruido, y lo peor, encontre y mate una cucaracha en el baño.En general le falta una adecuación a todo el hotel de forma urgente, considerando el precio de las habitaciones",olor producto quimico aire funcionar bien ruido peor encontrar matar cucaracha bano general faltar adecuacion forma urgente considerar precio,1
24,"El ambiente era muy relajado y agradable. De las cuatro platos, sólo uno, la crema de sopa de alubias era muy bueno. Pero los rillenos no eran muy sabroso. Los camarones de coco y el mango era overfried salsa no que vinos frescos. El salmón...en la ensalada de salmón ahumado estaba muy soso.Más",ambiente relajado agradable plato solo crema sopa alubia buen rilleno sabroso camarón coco mango overfried salsa vino fresco salmon ensalada salmon ahumado soso mo,5
25,"Estuvimos en familia. Un hermoso lugar para descansar y nada mas. Sin actividades (a pesar de estar anunciadas en cartelera), shows muy pobres, comida poco variada, tardaron en resolver un tema con WiFi, y hasta que no nos quejamos duramente no nos daban información fehaciente y adecuada. Es una lastima que teniendo una infraestructura tan adecuada no la aprovechen con un buen servicio. No volvería.",familia hermoso descansar actividad pesar anunciar cartelera show pobre variado tardar resolver tema wifi quejar duramente informacion fehaciente adecuado lastima infraestructura adecuado aprovechar buen servicio volver,5
26,"Buscando un restaurante para sentarse, nos encontramos con el recepcionista del lugar que nos convenció que se liberaría una mesa en la terraza y que el lugar era una casa de familia que hacia comida. La mesa no se libero. Cuando nos trajeron la carta...Más",buscar restaurante sentar encontrar recepcionista convencer liberarir mesa terraza casa familia hacia mesa liberar traer carta,5
27,"son las palabras que describen no sólo de metro pero todo Medellín. muy acogedora y cálida ciudad. excelente transporte, clima y comida.",palabra describir solo metro medellin acogedor calido ciudad excelente transporte clima,5
28,"Excelente restaurante, ofrece opciones a la carta o menú degustación con una cocina de muy buen gusto y con ingredientes locales preparados con maestría. Los visité con mi esposa para cenar y la experiencia fue muy placentera, desde la recepción hasta la despedida el servicio...fue muy bueno, los tiempos bastante cómodos y la visita fue hasta educativa en términos de gastronomía. Lo recomiendo ampliamente.Más",excelente restaurante ofrecer opción carta menu degustacion cocina buen gusto ingrediente local preparado maestria visitar esposa cenar experiencia placentero recepcion despedida servicio buen tiempo bastante comodo visita educativo termino gastronomia recomer ampliamente ma,4
29,"Vale la pena el mirador,de ahí en fuera esta normal. Subir por el funicular, vendimia, hay un hotel ahí. También te suben en un tour, cobran  por persona, recomiendo ir por su cuenta al Pípila por el funicular sale más barato.",valer pena mirador ahi normal subir funicular vendimia ahi tambien subir tour cobrar persona recomer cuenta pipila funicular salir barato,3
30,"Nuestra habitación tenía unas vistas estupendas del océano, y que era una ventaja memorable. Pero todos los demás recuerdos será malo: los manteles sucios, pésimo desayuno, cucarachas en los muebles por el ascensor, pelo sobre la alfombra y las sábanas, indiferente a grosero personal de recepción ... y además el increíblemente ruidoso fiestas en la piscina por las noches de miércoles a domingo. Por lo que quiero decir, en el piso , no daba a la piscina, con las ventanas cerradas y el aire acondicionado funcionando, siendo incapaces de dormir debido a la vibración amplificada base. Y por supuesto, la mañana siguiente la piscina era sembrados con latas de cerveza y colillas de cigarrillos. Nunca me alojaría aquí de nuevo.",vistas estupendo oceano ventaja memorable dema recuerdo malo mantel sucio pesimo desayuno cucaracha mueble ascensor pelo alfombra sabana indiferente grosero personal recepcion ademas increiblemente ruidoso fiesta piscina noche miercoles domingo piso piscina ventana cerrado aire acondicionado funcionar incapaz dormir debido vibracion amplificado base supuesto manana siguiente piscina sembrar lata cerveza colilla cigarrillo nunca alojar aqui nuevo,1
31,"Mientras te hospedes @ la Villa Del Palmar Flamencos que me fue la víctima de un robo de nuestra suite. ¡Y ropa de mujeres de efectivo eran robaron mientras estábamos sentados junto. ¡Numeroso personal del complejo tenía acceso a la habitación, que había encontrado con mantenimiento, gente de mantenimiento y la limpieza chicas (lo cual es de esperar), y alguien revisar el bar de honor. Yo reporté el incidente y era menos de w satisfechos/la respuesta del personal del resort. Si te seleccionar el complejo como tu destino de vacaciones ten cuidado con tu dinero y pertenencias personales y espero que no te victimized como yo...",mientras hospedir villa palmar flamenco victima robo suite ropa mujer efectivo robar mientras sentado junto numeroso personal complejo acceso encontrar mantenimiento gente mantenimiento limpieza chica esperar alguien revisar bar honor reportar incidente menos w satisfechos respuesta personal resort si seleccionar complejo destino vacaciones cuidado dinero pertenencia personal esperar victimizer,3
32,"Este sitio es una reliquia de la historia habanera.Quien conoció esta plaza en los años - realmente no podia imaginar que pudiera recuperarse.Estaba totalmente destruido,lleno de basura y escombros.Ha sido grandioso el esfuerzo de la oficina del historiador y del estado cubano en general para restaurar esta hermosura donde vivieron en su epoca numerosas familias importantes de la habana.No dejen de visitar este sitio donde podran apreciar valores arquitectonicos unicos en Cuba",sitio reliquia historia habanero conocer plaza ano realmente imaginar recuperar totalmente destruido lleno basura escombro grandioso esfuerzo oficina historiador cubano general restaurar hermosura vivir epoca numeroso familia importante habana dejar visitar sitio apreciar valor arquitectonico unico cuba,4
33,"Excelente opción para viaje familiar o de negocios, las personas que atienden tienen buena disposición de ayudarte. El hotel a pesar de que es antiguo, está arreglado para que sea cómodo y funcional. Muy buena opción",excelente opcion viaje familiar negocio persona atender buen disposicion ayudar pesar antiguo arreglar comodo funcional buen opcion,5
34,"Muy buen servicio, yo fui a un desayuno, el cual estuvo delicioso y a un precio no excesivo. Por qué me obligan a poner  caracteres en esta sección???",buen servicio desayuno delicioso precio excesivo obligar poner carácter seccion,5
35,"Mi marido y yo hemos estado viajando a Grand Velas por  años y tener una experiencia maravillosa cada año. El personal es simplemente increíble, la instalación muy bien cuidado, y nuevos programas para niños son de primera categoría. Mis  años encontramos el club de niños y club de adolescentes para ser todo lo que podrías desear. La nueva zona de Club fue una gran adición, y el personal de apoyo que son algunos de nuestros favoritos muy!",marido viajar grand vela ano experiencia maravilloso cada ano personal simplemente increible instalacion bien cuidado nuevo programa nino primero categoria ano encontrar club nino club adolescente desear nuevo zona club gran adicion personal apoyo favorito,5
36,"No nos gustó. No está cerca de la habana vieja, por lo cual está lejos de todo lo turístico y hay que ir en taxi hasta alla. La habitación era normal, pero cuando abríamos la ducha se mojaba todo el baño...  El desayuno era buffet pero no era rico. Si uno quiere hacer una limpieza intestinal por  dias, tomarse  vasos de jugo del desayuno.  A la noche en el pasillo habia carcajadas y gritos que no dejaban dormir, llamamos a recepción y nadie atendió. Terminamos prendiendo el aire acondicionado que era super ruidoso para no escuchar a los borrachos. Pedimos agua caliente en el bar, para cargar un termo y nos trataron de mandar a otro lado. Al final lo llenaron de mala gana. Lo único bueno del hotel era la banda que tocaba música cubana por la noche.",gusto cerca habana viejo lejos turistico taxi alla normal abrir ducha mojar bano desayuno buffet rico si limpieza intestinal tomar vaso jugo desayuno noche pasillo carcajada grito dejar dormir llamar recepcion nadie atender terminar prender aire acondicionado super ruidoso escuchar borracho agua caliente bar cargar termo tratar mandar lado final llenar malo gana unico buen banda tocar musica cubano noche,2
37,"Nada más entrar en la habitación nos encontramos una CUCARACHA grande muerta (el que esté muerta habla de un problema claro de limpieza, asumo que hay cucarachas en La Habana) Que en el mármol del lavabo hubiera un redondel manchado de haber puesto una taza de café y el estado vergonzoso de limpieza de toda la tapicería (cortinas, colchas y tela de sillas y sillones que daba asco tocar) me lleva a comprobar las almohadas quitándoles la funda, BINGO; círculos amarillos de diversos tamaños e intensidades de no haber sido lavadas regularmente ni esporádicamente. Cuando me dispongo a llamar a recepción para que nos cambien las almohadas (era nuestra última noche en La Habana, de luna de miel, agotados del viaje desde los cayos y estábamos dispuestos a no dar demasiada importancia a…",entrar encontrar cucaracha grande muerto muerto hablar problema claro limpieza asumir cucaracha habana marmol lavabo redondel manchado poner taza cafe vergonzoso limpieza tapiceria cortina colcha tela silla sillón asco tocar llevar comprobar almohada quitar funda bingo circulo amarillo diverso tamano intensidad lavar regularmente esporadicamente disponer llamar recepcion cambiar almohada ultimo noche habana luna miel agotado viaje cayo dispuesto demasiado importancia,2
38,Es un ambiente ideal para pasar en familia disfrutando de una buena atención y exquisita comida internacional y Cubana.,ambiente ideal pasar familia disfrutar buen atencion exquisito internacional cubano,5
39,"Hola a todos, la verdad que hacia mucho que no escribia, pero siento la necesidad de escribir , desde el mal asesoramiento de la agencia Almundo a el mal servicio del hotel. Contrate dos noches para despues ir a los cayos. Al llegar al lobby del hotel habia dos personas a las que me presento para hacer el check in, me dijeron que espere y una le estaba mostrando en la pantalla de la computadora algo relacionado al hotel, a los  minutos me atiende otra persona para tomarme los datos. Es un edificio que ocupa una manzana con  pisos, con un hall importante,  ascensores, de los cuales andaban , durante el dia funcionan con ascensoristas q te llevan a alguno de los  pisos. La habitacion amplia con un baño sin bidet, cama amplia y amoblamiento de los años , sin…",holar verdad hacia escribir sentir necesidad escribir mal asesoramiento agencia almundo mal servicio contratar noche despar cayo lobby persona presentar check in esperar mostrar pantalla computadora relacionado minuto atender persona tomar dato edificio ocupar manzana piso hall importante ascensor andar funcionar ascensorista q llevar piso amplio bano bidet cama amplio amoblamiento ano,2
40,"Al llegar a este hotel son recibidos por un personal muy amable, el vestíbulo es grandioso, el check-in es rápido y eficiente. Mi habitación era muy mal ventiladas, no había agua caliente, mal gusto y en general con gran necesidad de ""refrescante"".  El desayuno de la mañana estaba por debajo de la media para este nivel de hotel. Me fui después de  día para cambiar a una mejor alojamiento. La Habana tiene mucho que ofrecer si te gusta la historia, arquitectura y cultura por encima de todo los cubanos son muy amables y su cocina tiene que ser descubierto.",recibir personal amable vestibulo grandioso check in rapido eficiente mal ventilado agua caliente mal gusto general gran necesidad refrescante desayuno manana debajo medio nivel despues cambiar mejor alojamiento habana ofrecer si gustar historia arquitectura cultura encima cubano amable cocina descubrir,4
41,"Me fui en mi camino a Varadero. Cuando llegamos dama de la recepción me dijo que esperar unos minutos para conseguir mi habitación (:). tras unos minutos, dijo el check-in a las :. Luego me dieron la habitación a : después de un largo vuelo. Bien, cuando llegamos a la habitación, no A/C.  Fui a recepción y nos dijeron que era un problema con el aire acondicionado en todo el hotel y tomar algunas horas. De todas maneras, me dejó su hotel al día y todavía tener el aire acondicionado no funcionaba.  Habitación estaba muy caliente y sucio, colchón demasiado blandas y mantas sucias. Restaurante no tiene una buena selección. el desayuno buffet y por la noche era incluido - no líquidos (pero demasiado caro a $ una coca-cola).  Pero buffet no era muy buena, era más como…",camino varadero dama recepcion esperar minuto conseguir tras minuto check in luego despues largo vuelo bien c recepcion problema aire acondicionado tomar hora manera dejar todavia aire acondicionado funcionar caliente sucio colchon demasiado blando manta sucio restaurante buen seleccion desayuno buffet noche incluir liquido demasiado caro coca cola buffet buen,2
42,"Aunque pequeño, está ubicado en el corazón de la ciudad, rodeado de restaurantes y a un costado del Teatro Juárez. Es ideal para sentarse a descansar y sacar tu mapa de la ciudad. También es un buen lugar para contratar un recorrido con la estudiantina (callejoneada)",aunque pequeno ubicado corazon ciudad rodeado restaurante costar teatro juarez ideal sentar descansar sacar mapa ciudad tambien buen contratar recorrido estudiantina callejoneado,5
43,"El  de diciembre fui a comer en compañía de mi familia, la carne que es su platillo principal de calidad de regular a buena, pero el platillo so presentan solo, solo carne y ya. Pregunté si lo acompañaban con verduras, papa asada o algo...Más",diciembre comer compania familia carne platillo principal calidad regular buen platillo so presentar solo solo carne preguntar si acompanar verdura papa asado ma,2
44,Nos fue excelente con el servicio el personal muy amable pero las habitaciones muy viejos y sucias a mi bebe la picaron. Los restaurantes muy ricos. Pero le falta una buena remodelación de habitaciones porque si nos afectó un poco.,excelente servicio personal amable viejo sucio beber picar restaurante rico faltar buen remodelacion si afecto,4
45,"Linda experiencia, gran calidad humana de los guías, la comida excelente. Terrible el estado de los alojamientos, con mi hija llevamos cuatro días con picaduras de chinches y al parecer los trajimos a Bogotá. Costo - beneficio no vale la pena. Los gatos y perros de los alojamientos los tienen en condiciones lamentables.",lindo experiencia gran calidad humano guia excelente terrible alojamiento hija llevar picadura chinche parecer trajener bogota costo beneficio valer pena gato perro alojamiento condición lamentable,5
46,"Largas filas para entrar, tickets caros, cobran por las cámaras fotográficas no profesionales y realmente no vale la pena ni el tiempo ni el precio de acceso.",largo fila entrar tickets caro cobrar camara fotografico profesional realmente valer pena tiempo precio acceso,3
47,"El staff es súper simpatico, la comida es buena, las habitaciones son muy agradables y la ubicación muy agradable por la playa donde se puede caminar a gusto. Las albercas son variadas y amplias. No te pierdas un masaje en el spa, son de ensueño!",staff super simpatico buen agradable ubicacion agradable playa caminar gusto alberca variar amplio perder masaje spa ensueno,5
48,"Viaje con mi familia, los animales están bien cuidados y muy padre.Solo que realmente no tienen cuidados de COVID. No tienen el control ni aforo máximo de las personas que acceden al parque ni a la zona de comidas ni tiendas. El recorrido en vehículo lo haces a vuelta de rueda por tanta gente qué hay! Y tardas hasta  o  horas en dar el recorrido. Las personas no guardan la distancia y no hay personal al cuidado de esos detalles. ",viaje familia animal bien cuidado padre solo realmente cuidado covid control aforo maximo persona acceder parque zona tienda recorrido vehiculo vuelta rueda gente tardar hora recorrido persona guardar distancia personal cuidado detalle,5
49,"Nos fuimos a la fortaleza en la noche para ver la ceremonia de canon. Era lo único en Cuba, que comenzó a tiempo! Tienes que llegar temprano para conseguir un buen espacio para ver.La ceremonia estuvo interesante (Ish), pero bastante prolongarse para disparar una canon. Era gratis.",fortaleza noche ceremonia canon unico cuba comenzar tiempo temprano conseguir buen espacio ceremonia interesante ish bastante prolongar disparar canon gratis,4
50,"he probado el cabrito en  otros restaurantes y me gusta mas su sabor y su presentación creo que ya no es lo mismo que antes.
no se si estaba muy grande el chivo o ke quien sabe pero no me gusto prefiero ir a otro...Más",probar cabrito restaurante gustar sabor presentacion creer mismo si grande chivo ke saber gusto preferir ma,4
51,"La vista maravillosa desde el hotel, los barcos, el paseo en Yate estuvo genial, sobre todo por la noche las luces se ven increibles y caminar a la orilla ya sea de noche o dia a cualquier hora es un puerto hermoso.",maravilloso barco paseo yate genial noche luz increible caminar orilla noche cualquiera hora puerto hermoso,5
52,"la verdad esta muy bien diseñado, es muy agradable a la vista y los guias de las lanchas muy simpaticos, el precio me parece razonable para la distancia que se recorre",verdad bien disenado agradable guia lancha simpatico precio parecer razonable distancia recorrer,4
