,frecuencia,palabra
420,4,equivocaron
421,39,central
422,46,reservas
423,365,llegar
424,51,cobraron
425,158,poder
426,13,alojarme
427,295,Una
428,2,recamaras
429,44,pusieron
430,567,solo
431,24,huésped
432,1,🤦🏽‍♂️
433,26,sentido
434,5,"común,"
435,2,acabe
436,22,pagando
437,199,otras
438,11,5.
439,15,O
440,163,sea
441,1,engañaron
442,2,😡
443,91,difícil
444,958,esta
445,2,resultando
446,126,dar
447,40,opinión
448,203,"lugar,"
449,39,hijo
450,1,divirtió
451,308,eso
452,441,hace
453,6,valga
454,498,pena
455,958,tiene
456,8,demasiadas
457,54,áreas
458,103,oportunidad
459,16,niño
460,3,ves.
461,14,"principio,"
462,123,acceso
463,167,caro
464,18,adulto
465,20,haces
466,1391,te
467,88,cobran
468,18,derecho
469,8,actividades.
470,252,Y
471,11,comienza
472,356,mal
473,226,"servicio,"
474,14,desafortunadamente
475,2,jovencitos
476,36,importa
477,226,hacen
478,1689,su
479,25,"trabajo,"
480,115,estas
481,9,estés
482,1,arrepintiendo
483,37,"ir,"
484,161,además
485,5,"lentos,"
486,13,explican
487,68,nada.
488,68,actitud
489,1,"prepotente,"
490,5,hacerles
491,13,pregunta
492,13,sencilla
493,13,contestan
494,17,caras
495,136,peor
496,4,actitud.
497,130,Como
498,213,pagar
499,51,"nada,"
500,5,tardas
501,121,30
502,302,minutos
503,54,entender
504,1,dinámica.
505,520,cada
506,24,actividad
507,43,ven
508,1,"fastidiados,"
509,43,quieren
510,12,"ahi,"
511,72,aparte
512,1,enojan.
513,520,Me
514,3,bajaron
515,1,"""avión"""
516,699,porque
517,4,"actividad,"
518,49,abierto
519,33,abajo
520,124,nadie
521,1,controlara.
522,18,Otro
523,1,prohibía
524,387,tomar
525,59,foto
526,117,ningún
527,1,letrero.
528,118,fin
529,1571,servicio
530,89,cliente
531,251,falta
532,1,"muchisimo,"
533,122,final
534,204,niños
535,1,"divierten,"
536,30,pasan
537,182,tarde
538,384,agradable
539,11,jugando
540,1,"""grandes"","
541,208,decir
542,384,vale
543,25,vayan
544,11,preparados
545,548,hacer
546,275,algunos
547,1,corajes.
548,18,Ubicado
549,222,plaza
550,3,Chorro
551,3,Quevedo
552,121,ofrece
553,74,vivo
554,15,volumen
555,5,exagerado
556,69,interior
557,19,local.
558,3,tremenda
559,2,decepción:
560,109,espera
561,2,"interminable,"
562,19,mediocre
563,272,precios
564,23,caros
565,18,en...Más
566,24,Reservamos
567,29,recomendación
568,201,Cuba
569,3,directamente.
570,1,explícitamente
571,13,dijimos
572,494,nuestro
573,19,aniversario
574,17,boda
575,288,fuera
576,150,especial
577,49,(y
578,30,críticas
579,1,geniales).
580,1,Direct
581,5,convenció
582,100,habían
583,246,sido
584,4,renovadas
585,15,recientemente
586,10,solicite
587,918,habitaciones
588,4,"nuevas,"
589,748,así
590,1,inocentemente
591,1,respondes
592,4,Seguimos
593,33,consejo
594,334,ubicación
595,120,buena.
596,79,Llegamos
597,242,estancia
598,412,2
599,508,sólo
600,206,encontrar
601,88,habíamos
602,1,designado
603,697,dos
604,154,camas
605,2,individuales.
606,13,cambiaran
607,3,echaron
608,222,dijeron
609,3,(similar
610,58,comentarios
611,1,"aquí),"
612,330,bar
613,15,"cerrado,"
614,187,cena
615,5,nosotros!
616,1,buffet…
617,156,Fuimos
618,4,recomendacion
619,6,"amigo,"
620,147,6
621,46,pm
622,16,cenar.
623,1,Decia
624,4,Google
625,6,abierto.
626,33,resulta
627,1,abrian
628,1,630
629,12,pm.
630,1,Nomas
631,11,quisieron
632,1,recibirnos.
633,4,"gerente,"
634,14,dueño
635,3,capitan
636,1,tajante.
637,1,"NO.

Veniamos"
638,293,mucha
639,4,"hambre,"
640,5,para...Más
641,72,"historia,"
642,12,"cultura,"
643,28,"arquitectura,"
644,5,"tradición,"
645,6,emblematico
646,59,comimos
647,762,buen
648,382,precio
649,1,abundante!nos
650,13,dejamos
651,1,acierto!!Repetiriamos
652,1,"precioso,tiene"
653,264,unas
654,157,grandes
655,1,"preciosas,el"
656,1,"excelente,donde"
657,2,desayuna
658,1,"bueno,tiene"
659,21,discoteca
660,39,coches
661,41,antiguos
662,1,"muestra,esta"
663,37,enfrente
664,1,"MALECON,TIENE"
665,7,UNA
666,1,VISTA
667,21,MUY
668,1,LINDA
669,5,AL
670,1,MAR.LA
671,1,PILETA
672,1,LINDA.NO
673,11,SE
674,2,VAN
675,1,ARREPENTIR
676,421,.
677,73,Fui
678,3,entré
679,35,"comer,"
680,6,"beber,"
681,15,Mojito
682,344,bueno
683,25,"pequeño,"
684,187,"buena,"
685,21,"duda,"
686,141,"excelente,"
687,17,"turístico,"
688,32,particular
689,18,y...Más
690,15,Esperamos
691,33,línea
692,250,horas
693,92,recomendado
694,146,casa
695,26,conductor
696,24,taxi.
697,10,líneas
698,5,desorganizado
699,12,largo.
700,11,Están
701,122,ninguna
702,12,prisa
703,12,mover
704,18,2.
705,34,afuera
706,1,"caliente,...caliente."
707,16,desorganizado.
708,2,"lenta,"
709,43,porciones
710,52,cuentan
711,45,ambos
712,14,"lados,"
713,1138,sin
714,196,"embargo,"
715,11,"caros,"
716,173,sabor
717,31,normal.
718,129,Fue
719,30,decepción
720,1,enorme.Más
721,10,conocer.
722,237,fuimos
723,18,abril
724,12,2013
725,429,estaban
726,3,arreglando
727,4,ingresar.
728,66,Solo
729,28,verlo
730,9,afuera.
731,98,Está
732,462,zona
733,143,vieja
734,6,podés
735,236,algunas
736,29,fotos.
737,3,Ahí
738,4,"hay,"
739,182,varias
740,49,partes
741,159,"Habana,"
742,16,autos
743,2,arreglados
744,759,sus
745,14,dueños
746,5,sacarte
747,42,recuerdo
748,5,"valor,"
749,1,querés
750,31,auto
751,49,típico
752,13,país.
753,73,"atención,"
754,27,eficiente
755,4,"rápida,"
756,1093,personal
757,2,"respetuoso,"
758,252,mejores
759,1,Sneider
760,33,espectacular.
761,299,Excelente
762,308,sitio
763,26,vivir
764,12,máximo
765,1,arrepentimientos.
766,13,Situado
767,28,corazón
768,1,Veija
769,30,(la
770,1,"Vieja),"
771,17,popular
772,40,beber
773,199,hizo
774,52,famoso
775,75,gracias
776,7,Ernest
777,19,Hemingway
778,26,(el
779,1,escritor).
780,313,aquí
781,18,mediocre.
782,211,esperar
783,38,obtener
784,197,mesa
785,3,períodos
786,9,ocupados
787,768,puede
788,1,un...mojito
789,67,escuchar
790,12,espera.
791,70,Te
792,18,sugiero
793,385,visitar
794,44,principales
795,79,sitios
796,78,parada
797,90,bebida
798,1,almuerzoMás
799,54,Comida
800,564,excelente
801,11,comodidad
802,12,perfecta.
803,283,Sin
804,295,duda
805,16,volveremos.
806,826,poco
807,60,lento
808,9,establecido
809,451,experiencia
810,67,Nuevo
811,32,Vallarta.
812,178,Todo
813,1,"lucirse,"
814,1,discreta
815,625,","
816,5,"ok,"
817,14,dulces
818,1,ok..nada
819,1,mas..para
820,12,"rápido,"
821,89,algún
822,1,traguito
823,45,hija
824,1,"yerno,"
825,27,18
826,31,meses
827,7,edad.
828,489,Si
829,16,hubiéramos
830,310,allí
831,5,solos
832,63,ido
833,1,probablemente.
834,9,sabiendo
835,4,"multipropiedad,"
836,42,hijos
837,13,usando
838,2,leyes
839,21,padres
840,6,compartir.
841,17,Nuestros
842,215,han
843,92,tenido
844,106,problemas
845,58,cualquiera
846,10,resorts
847,2,en.
848,255,Mi
849,93,marido
850,389,yo
851,29,normalmente
852,101,incluido
853,15,(si
854,1,ensueño/estaciones
855,81,mayor
856,1,"clase),"
857,8,alquilamos
858,1,"lujos,"
859,13,apartamento
860,121,través
861,1,"vrbo,"
862,32,pensamos
863,104,sería
864,194,entre
865,130,cosa
866,55,primero
867,93,transporte
868,11,"disponible,"
869,6,tardamos
870,28,pensé
871,11,causa
872,20,conseguimos
873,7,loco
874,150,dijo
875,135,estábamos
876,18,tomando
877,36,próxima
878,124,hemos
879,14,viajado
880,2,"a,"
881,157,nuestras
882,19,manos
883,51,pronto
884,4,"llega,"
885,374,después
886,6,"registramos,"
887,39,compartido
888,31,mujeres
889,246,ese
890,13,encontrado
891,1,ordenados..
892,23,vaso
893,1,plástico!
894,61,Nunca
895,319,he
896,82,visto
897,28,tantos
898,21,vasos
899,8,plástico
900,72,alta
901,1,categoría!
902,18,Qué
903,8,desperdicio
904,51,barato
905,3,sensación.
906,7,Entiendo
907,1,piscina..
908,1,"complejo...

Compartir"
909,1,tiempo!!
910,25,Eso
911,152,problema
912,2,complejo!!
913,22,Ni
914,105,siquiera
915,44,dejaron
916,2,"instalarse,"
917,182,ellos
918,26,hablando
919,491,sobre
920,284,instalaciones
921,138,dan
922,18,miembro
923,23,asistir
924,14,reuniones
925,13,compartido.
926,658,Nos
927,300,dieron
928,104,tarjeta
929,26,descuento
930,20,reunión
931,28,90
932,27,minutos.
933,19,quieras
934,27,cuidado.
935,418,también
936,34,miembros
937,52,necesidad
938,256,Pero
939,44,ir.
940,22,reservamos
941,3,separado
942,1,"reserva),"
943,1,penalizados
944,1,asisten.
945,62,sentimos
946,5,acosados
947,37,"mañana,"
948,11,vio
949,45,venir
950,77,"piscina,"
951,8,llamaron
952,2,"vaya,"
953,27,cena.
954,1,tratarles
955,59,segundo
956,75,día.
957,49,Todos
958,1,"acosados,"
959,35,chica
960,1,persiguiendo
961,574,gente
962,10,quieran
963,4,diciéndole
964,107,ella
965,146,lejos
966,158,vacaciones
967,1,llegó..
968,79,aquí.
969,12,preguntaron
970,91,internet
971,62,gratis
972,151,manera
973,2,hacen.
974,10,¿Por
975,1,pregunta?
976,19,60
977,39,dólares
978,1,dispositivo!
979,276,Por
980,2,semana!
981,2,pagarías
982,6,mes.
983,53,alojado
984,2,Islas
985,198,incluso
986,137,pequeña
987,5,gratis!
988,53,esas
989,37,trabajar
990,2,vacaciones).
991,84,Así
992,11,costó
993,1,120$!
994,176,Para
995,1,ridículo.-
996,137,dinero
997,1,"gratis!!
Comida:"
998,397,restaurantes
999,1,comparten)
1000,1,Odio
1001,1,id
1002,51,temporada
1003,5,llena.
1004,38,Comimos
1005,161,mayoría
1006,343,playa
1007,10,cocinado
1008,150,"habitación,"
1009,31,ninguno
1010,415,tenía
1011,1,estomacales
1012,6,nunca.
1013,14,alguno
1014,2,enfermó
1015,314,veces
1016,38,complejo.
1017,3,comieron
1018,10,diario
1019,1,problemas)
1020,73,"allí,"
1021,20,comparado
1022,205,ciudad.
1023,2,Noches
1024,143,tenían
1025,6,festival
1026,176,"comida,"
1027,11,fuimos.
1028,174,limpieza
1029,136,gusta
1030,18,tocar
1031,243,mis
1032,2,cosas!
1033,18,Soy
1034,189,persona
1035,135,limpio
1036,5,"ordenado,"
1037,14,¿por
1038,2,habitación..
1039,34,Bien
1040,1,movió
1041,153,alrededor
1042,1,muevo
1043,1,contador
1044,1,suyos
1045,70,poner
1046,260,cosas
1047,22,toalla
1048,41,propia
1049,1,(gérmenes)
1050,16,puso
1051,4,"ellas,"
1052,7,qué?
1053,1,Movía
1054,1,cordones
1055,8,ordenador
1056,5,escritorio
1057,7,"distancia,"
1058,4,papeles
1059,1,"trabajar!,"
1060,86,entonces
1061,103,ropa
1062,1,plegada
1063,7,colgando
1064,22,pone
1065,116,nuevo
1066,38,toque
1067,16,pueblos
1068,1,"pertenencias!
Pros:"
1069,4,"educados,"
1070,31,iban
1071,8,usted.
1072,11,"Ah,"
1073,1,12%
1074,36,propina
1075,4,automáticamente
1076,7,cuentas
1077,1,propinas!
1078,65,jardines
1079,1,meticulosamente
1080,80,"limpio,"
1081,18,pequeño.
1082,175,De
1083,27,"nuevo,"
1084,4,quisiera
1085,9,alta.
1086,476,piscina
1087,33,"bonita,"
1088,29,"lleno,"
1089,55,nosotros.
1090,13,animación
1091,19,hablaba
1092,30,menudo
1093,2,jugaba
1094,1,nieta.
1095,102,"general,"
1096,23,empresa
1097,91,hubiera
1098,21,dejado
1099,33,sitio.
1100,149,estrellas
1101,9,"compartido,"
1102,22,esperábamos
1103,51,"más,"
1104,132,especialmente
1105,34,pagamos
1106,9,(lo
1107,1,pagará
1108,37,semanas
1109,1,alquiler)
1110,28,tratar
1111,3,tratados
1112,2,impresionados.
1113,5,Subir
1114,26,cerro
1115,141,sí
1116,3,desafío
1117,39,hacerlo
1118,83,caminando
1119,11,dispone
1120,22,"paseo,"
1121,26,requiere
1122,108,forma
1123,292,cualquier
1124,2,subirlo
1125,16,menor
1126,86,tiempo.
1127,31,Durante
1128,175,recorrido
1129,1,goza
1130,40,contacto
1131,13,naturaleza
1132,98,arriba
1133,23,"caminar,"
1134,164,entrar
1135,16,"iglesia,"
1136,156,comprar
1137,41,artesanías
1138,8,pasaje
1139,54,comercial
1140,20,degustar
1141,3,exquisitas
1142,6,típicas
1143,20,alimentos.
1144,13,gustan
1145,61,rico
1146,12,manteles
1147,59,cima
1148,3,cerro.
1149,7,bajada
1150,70,obligada
1151,47,teleférico
1152,67,linda
1153,24,rápida
1154,9,bajar.
1155,132,turistas
1156,10,alternativa
1157,49,plan
1158,38,Bogotá.
1159,17,Candelaria
1160,14,quinta
1161,2,Simón
1162,3,Bolívar.
1163,2,preferido.
1164,118,trato
1165,19,deliciosa.
1166,5,Cocina
1167,92,local
1168,2,criolla
1169,1,"contemporánea.

tratándose"
1170,21,paladar
1171,512,mas
1172,217,casi
1173,3,europeos
1174,1,compensados
1175,378,calidad
1176,98,comida.
1177,10,"descansar,"
1178,77,suficiente
1179,10,sentirse
1180,2,emprender
1181,96,"día,"
1182,5,comunicado
1183,20,"centro,"
1184,10,excesivo
1185,22,comodidades
1186,12,tienen.
1187,103,empleados
1188,324,antes
1189,5,"salida,"
1190,20,termina
1191,67,salida
1192,1,restringe
1193,6,"visitante,"
1194,9,deberia
1195,79,diferente
1196,656,uno
1197,4,programado
1198,30,vuelo
1199,13,consumir
1200,3,gaseosa
1201,2,exagerados.
1202,8,"estándar,"
1203,42,descanso
1204,4,"aperitivo,"
1205,3,extravagante.
1206,25,Mucha
1207,24,madera
1208,8,oscura
1209,3,"objetos,"
1210,23,tapas
1211,7,agujero
1212,1,apropiado.
1213,79,histórico
1214,34,"hermoso,"
1215,172,variedad
1216,97,"restaurantes,"
1217,77,bares
1218,5,"cafés,"
1219,4,ideales
1220,55,compartir
1221,71,pareja
1222,238,familia
1223,130,amigos
1224,26,lamentablemente
1225,1,tropicalizada
1226,27,sazón
1227,18,"fuerte,"
1228,49,siente
1229,3,"ligera,"
1230,90,pedí
1231,20,chaya
1232,3,limón
1233,15,sabia
1234,29,accesible
1235,13,señoras
1236,7,estén
1237,83,haciendo
1238,31,tortillas
1239,12,el...Más
1240,271,ha
1241,291,muchas
1242,81,cuatro
1243,57,sé
1244,8,qué.
1245,27,"sucias,"
1246,45,"caliente,"
1247,1,salve
1248,53,excepto
1249,46,desayunos
1250,217,tipo
1251,18,"buffet,"
1252,194,bien.
1253,1,"""Vieja"
1254,1,"Habana"""
1255,69,quizás
1256,96,esposa
1257,9,alojado.
1258,2,Seria
1259,41,"ambiente,"
1260,31,"estancia,"
1261,120,reserva
1262,20,"jardines,"
1263,9,común.
1264,25,podes
1265,119,dejar
1266,180,vas
1267,5,Havana.
1268,2,une
1269,42,musica
1270,11,trago
1271,31,maravillas
1272,13,brinda
1273,46,muestra
1274,1,medre
1275,9,"naturaleza,"
1276,2,unica.
1277,1,aprovecharla
1278,1,maximo...
1279,1,primordial
1280,11,relajado
1281,11,contento
1282,15,culturas
1283,1,tradiciones...
1284,29,Algunos
1285,1,botones/guardias
1286,25,altamente
1287,1,discriminatorios.
1288,3,pedían
1289,1,dejáramos
1290,18,revisar
1291,1,mochilas.
1292,7,últimas
1293,28,"noches,"
1294,90,siendo
1295,19,"huéspedes,"
1296,13,dejaban
1297,7,accesar
1298,51,registro
1299,2,"hospedado,"
1300,1,intervine
1301,10,brindaron
1302,1,"""usted"
1303,1,"disculpe..."""
1304,64,genial.
1305,1,pasaje.
1306,23,rápido.
1307,213,bebidas
1308,24,razonable
1309,1,(3-4
1310,4,CUC)
1311,27,entradas
1312,1,$....aperitivos
1313,1,"también.

Me"
1314,58,pollo
1315,2,curry
1316,24,Tenía
1317,2,pizca
1318,1,india
1319,27,perfecto.
1320,3,sugieren
1321,114,plato
1322,2,acompañamiento
1323,117,fui
1324,1,"arroz.

Como"
1325,11,"dicho,"
1326,1,inyección
1327,98,15
1328,230,años
1329,34,ron
1330,31,puro
1331,15,salir.
1332,20,Bastante
1333,1,guay.Más
1334,1,"Malo,"
1335,4,practicamente
1336,12,desastre
1337,72,experiencia.
1338,1,Desinformado
1339,1,sesgado
1340,5,totalmente.
1341,353,Lo
1342,10,bueno:
1343,1,"lipio,"
1344,1,"bonit,"
1345,4,ubicacion.
1346,7,malo:
1347,11,"ruidoso,"
1348,1,esuchan
1349,24,pasillo
1350,8,"restaurant,"
1351,3,mu
1352,1,chiquo
1353,13,areas
1354,26,comunes
1355,37,pueda
1356,1,"esta,el"
1357,119,atento
1358,1,"olvidaiso,"
1359,11,faltan
1360,79,detalles
1361,5,atencion.
1362,273,general
1363,191,"bueno,"
1364,43,almohadas
1365,2,riquisimas
1366,8,dejé
1367,2,olvidados
1368,22,zapatos
1369,5,"respuesta,"
1370,37,parecer
1371,1,"encontraron,"
1372,4,imposible.
1373,13,Ojalá
1374,1,gane
1375,2,honradez
1376,1,recupere.
1377,41,Son
1378,2,simples
1379,1,(crocs)
1380,3,debieron
1381,3,llevarlos
1382,25,objetos
1383,1,olvidados.
1384,3,Sigo
1385,46,respuesta
1386,11,ama
1387,4,llaves.
1388,24,Espero
1389,13,decirles
1390,21,trabaja
1391,1,honrada
1392,23,seguramente
1393,66,será
1394,5,Excelente.
1395,231,verdad
1396,59,"mal,"
1397,1,Pool
1398,15,concierge
1399,1,arreglan
1400,3,regalando
1401,4,"tragos,"
1402,162,hermoso
1403,6,"bello,"
1404,29,out
1405,2,"tardados,"
1406,9,"cuartos,"
1407,1,"quejo,"
1408,6,gym
1409,327,muchos
1410,1,"pulir,"
1411,11,secciones
1412,3,"cerradas,"
1413,47,cuales
1414,6,"pasar,"
1415,12,pierde
1416,2,"orientar,"
1417,23,solamente
1418,1,"capacitación,"
1419,229,caminar
1420,1,deleitarse
1421,114,arquitectura
1422,47,museos
1423,1,Librería
1424,1,Fondo
1425,4,Cultura
1426,1,Mejico
1427,14,realizan
1428,21,exposiciones
1429,1,artísticas
1430,9,presentaciones
1431,2,autores.
1432,19,Fidel
1433,14,Castro
1434,4,alojo
1435,4,revolución.
1436,15,"situado,"
1437,22,buenas.
1438,5,espaciosas.
1439,23,"si,"
1440,12,refleja
1441,73,cinco
1442,12,tiene.
1443,96,estan
1444,30,"viejas,"
1445,137,mantenimiento
1446,9,deficiente.
1447,18,"histórico,"
1448,14,"Nacional,"
1449,40,ventanas
1450,11,"este,"
1451,5,símbolo
1452,1,"capitalismo,"
1453,1,misams
1454,13,muchisimo
1455,10,conservado.
1456,41,wifi
1457,342,recepción
1458,27,pago
1459,1,(3€
1460,3,hora).
1461,5,correcta.
1462,105,Gran
1463,99,poca
1464,1,hamacas.
1465,190,demasiado
1466,20,terrible.
1467,34,camarera
1468,34,trajo
1469,259,e
1470,10,intentó
1471,34,cobrar
1472,4,cortésmente
1473,5,ordenar.
1474,52,Pedimos
1475,4,virgen
1476,13,piña
1477,6,colada
1478,121,medio
1479,11,alcohol
1480,1,-...el
1481,2,jarra
1482,7,intentaron
1483,2,cobrarnos.
1484,53,extremadamente
1485,23,trampa
1486,41,turistas.
1487,6,lugar.Más
1488,3,papás
1489,11,marzo
1490,4,"2012,"
1491,9,Varadero
1492,9,cómodos.
1493,2,distante.
1494,10,ubicado.
1495,61,amplias
1496,38,"cómodas,"
1497,22,increíbles.
1498,8,"feo,"
1499,9,habrá
1500,26,momento.
1501,55,llevó
1502,1,pagais
1503,2,intolerable
1504,35,tiempos
1505,53,hoy
1506,3,recomendaré
1507,269,guía
1508,26,resultó
1509,46,comedor
1510,23,cerca.
1511,37,Tienes
1512,18,"reserva,"
1513,1,"día.
Es"
1514,95,pocos
1515,33,tenga
1516,12,(muy
1517,1,persistentes)
1518,35,ambulantes
1519,1,"la...esquina,"
1520,160,pesar
1521,2,flujo
1522,24,constante
1523,39,fila
1524,1,"reservar.
La"
1525,16,mejores.
1526,96,Recomiendo
1527,86,mojito
1528,2,house
1529,248,parece
1530,4,"verde,"
1531,13,gustos
1532,2,slushy
1533,26,estándar
1534,180,hecho
1535,1,mojito.Más
1536,8,Despues
1537,748,ver
1538,1,"uxmal,"
1539,1,encontrarte
1540,82,ruinas
1541,68,pequeñas
1542,2,olvidadas
1543,21,triste
1544,14,guias
1545,1,expliquen
1546,64,paso
1547,14,ahi.
1548,69,encanto
1549,60,"playa,"
1550,132,habitacion
1551,73,limpia
1552,14,"variado,"
1553,12,jugos
1554,8,naturales
1555,11,"detalle,"
1556,21,familiares
1557,1,escape
