,Unnamed: 0,Review,Class,Conteo,Max,Min,moda,tokens,ClassBestModel
7785,7858,"Estoy seguro de que fue uno de los mejores hoteles de la ciudad hace  años! Hoy en día, es un poco anticuado (mobiliario, baños, servicios, restaurantes), pero el servicio es bueno. Se necesitaría una renovación y la calidad de la comida necesita mejorar. En general una estancia agradable, pero difícil de tarifa ""media.""",3,324,14,1,ser,seguro ser mejor hotel ciudad hacer ano hoy dia ser anticuado mobiliario bano servicio restaurante servicio ser buen necesitar renovacion calidad comida necesitar mejorar general estancia agradable dificil tarifa media,4
39,39,"estas maravillas que nos brinda muestra medre naturaleza, es unica. asi que hay que aprovecharla al maximo... y lo primordial es sentirse relajado y contento de estar en contacto con la naturaleza, y disfrutar culturas y tradiciones...",4,235,14,1,naturaleza,maravilla brindar muestra medre naturaleza ser unico asi haber aprovechar maximo primordial ser sentir relajado contento contacto naturaleza disfrutar cultura tradición,5
2688,2700,"El día del check out olvidamos unas prendas de ropa en la habitación. Nos pusimos en contacto con el hotel ese día en la tarde y la siguiente mañana pero nunca aparecieron... El personal del hotel se mostró poco confiable, primero dijeron que la habitación estaba ocupada y no podían entrar a revisarla. Esto no fue cierto y posteriormente nos permitieron revisarla pero evidentemente ya no había nada. También se justificaron al mostrarnos grabaciones de cámaras donde no era posible ver la puerta de la habitación, y aparte eran de  horas después de que hallamos hecho el check out.   Aparte de esto el hotel se encuentra bastante descuidado, ya le hace falta una remodelación misma que esta en curso y por lo mismo hay ruido de : AM a : PM. Esto por lo menos si nos lo_x_",1,785,14,0,habitacion,dia check out olvidar prenda ropa habitacion poner contacto hotel dia tarde siguiente manana nunca aparecer personal hotel mostrar confiable primero decir habitacion ocupado poder entrar revisar ser cierto posteriormente permitir revisar evidentemente haber tambien justificar mostrar grabación camara ser posible ver puerta habitacion aparte ser hora despues hallar hecho check out aparte hotel encontrar bastante descuidado hacer falta remodelacion mismo curso mismo haber ruido am pm menos si lo_x _,2
3092,3108,"He visto obras de Botero más de mi vida adulta, pero nunca he pagado ninguna atención. Mi esposa I visitamos el museo, y encontramos una enorme cantidad de tipos diferentes de fotografías y esculturas, y en medios diferentes. Es un gran museo, y bien vale la pena el tiempo para ver la exposición completa.",4,306,11,1,haber,haber ver obra botero mas vida adulto nunca haber pagar ninguno atencion esposa i visitar museo encontrar enorme cantidad tipo diferente fotografia escultura medio diferente ser gran museo bien valer pena tiempo ver exposicion completo,5
1536,1538,"Horrible estadía, desde la atención de las personas hasta la limpieza de las habitaciones. Nos tocó una habitación con cucarachas. Había nido en las camas, un asco! Nunca pasaron a limpiar. La comida tampoco fue buena. Por suerte nos quedamos pocos días, jamás volvería a este hotel.",1,283,13,1,horrible,horrible estadia atencion persona limpieza habitación tocar habitacion cucaracha haber nido cama asco nunca pasar limpiar comida tampoco ser buen suerte quedar dia jama volver hotel,1
4098,4122,"Estuvimos con mi esposa y tres parejas amigas tres dias en este hotel,  del que no tengo nada que decir. Excelentes instalaciones, una pileta magnifica y que embellece al hotel, ya que la rodea en su mayor parte y termina en un yacuzzi,  la cual pudimos aprovechar poco. Las habitaciones en estado impecable, tanto en limpieza como en servicio. Tambien disfrutamos de la cena que sirven en el hotel, con una muy buena comida y  atencion de todos los mozos. Aunque esta un poco alejado del centro historico,  en barrio Miramar, tiene un muy lindo entorno y un buen servicio de  transfer que nos acercaba hasta distintos lugares, por ejemplo: centro historico, feria de artesanias, etc. y sin costo alguno!!, solo habia que tener en cuenta el horario de partida desde el hotel y hacia el…",4,786,14,0,hotel,esposa tres pareja amigo tres dia hotel tener decir excelente instalación pileta magnifico embellecer hotel rodear mayor parte terminar yacuzzi poder aprovechar habitación impecable limpieza servicio tambien disfrutar cena servir hotel buen comida atencion mozo aunque alejado centro historico barrio miramar tener lindo entorno buen servicio transfer acercar distinto lugar ejemplo centro historico feria artesania etc costo alguno solo haber tener cuenta horario partida hotel hacia,4
2054,2062,La Plaza Vieja recrea el auge económico de un pasado que se ha quedado por paralizado por la pobre economía de La Isla,5,118,10,2,plaza,plaza viejo recrear auge economico pasado haber quedar paralizado pobre economia isla,3
7275,7346,"Mi esposa y yo hicimos el tour de chichenitza como parte de nuestras vacaciones Thomson en el spa el complejo de Carmen dorado en jugar. Es un temprano (:) pero nuestro consejo aquí es pedir un desayuno del servicio de habitaciones (¡gratis!) antes de salir. Otros no en la excursión, pero habíamos pensado este no hay que preocuparse ya que el guía siempre pasteles daneses y zumo en la ruta. El viaje en coche dura casi  horas de la Riviera Maya y el paisaje es selva y selva más prácticamente todo el camino, la mayoría de la gente en nuestro recorrido nos quedamos dormidos a pesar de las guías informativas sobre narrativa y cultura historia maya.Chichenitza en sí es un complejo enorme de ruinas y aunque la atracción principal es bien conocido por todo el mundo, hay muchos otros aspectos muy interesantes para el complejo no menos de lo que la historia detrás de la vista europea de los Maya como sacrificio humano, mientras que la verdad es que led, durante muchos siglos, este no era el caso hasta que eran subsumida en la cultura Tolmec maya. El tour ofrece visión real en las culturas de ambos pueblos.Mientras que no es posible subir la pirámide principal (a diferencia de la excursión a Coba cerca) la vista es muy imponente, de verdad. La prohibición era poner en lugar después de un turista murió tras subir a la cima desde hace algunos años. Lo que fue increíble escuchar fue el hecho de la actual pirámide es en realidad más pequeña que la original confirmado por los cimientos de su predecesor visto fácilmente. En efecto, el original era más grande que la Gran Pirámide de Giza en egipcio.Chichenitza es, por supuesto, mucho más comercial que sus hermanas en Coba y Tulum, pero esto no quita del sitio en sí.El tour también te lleva en un Thomson breve visita a un pueblo maya actual, donde los habitantes permiso de entrada limitada a sus ambientes (a través del programa fondo social administrado por Thomson localmente), es muy humilde y muy interesantes.Tip top - tomar manzanas o lápices desde el hotel, ya que a los niños les encanta tanto!La excursión termina con una visita a una piscina cenote donde es posible bañarse durante media hora, muy necesario después de los extrem calor de Chichenitza!En resumen un maravilloso día, altamente recomendado.Dispuesto a agregar más detalle si es necesario...",4,2332,21,1,ser,esposa hacer tour chichenitza parte vacaciones thomson spa complejo carmen dorado jugar ser temprano consejo aqui ser pedir desayuno servicio habitación gratis salir excursion haber pensar haber preocupar guia siempre pastel danés zumo ruta viaje coche durar casi hora riviera maya paisaje ser selva selva mas practicamente camino mayoria gente recorrido quedar dormido pesar guia informativo narrativa cultura historia maya chichenitza si ser complejo enorme ruina aunque atraccion principal ser bien conocer mundo haber aspecto interesante complejo menos historia detrar vista europeo maya sacrificio humano mientras verdad ser leer siglo ser caso ser subsumir cultura tolmec maya tour ofrecer vision real cultura ambos pueblo mientras ser posible subir piramide principal diferencia excursion coba cerca vista ser imponente verdad prohibicion ser poner lugar despue turista murio tras subir cima hacer alguno ano ser increible escuchar ser hecho actual piramide ser realidad mas pequeno original confirmado cimiento predecesor visto facilmente efecto original ser mas grande gran piramide giza egipcio chichenitza ser supuesto mas comercial hermana coba tulum quitar sitio si tour tambien llevar thomson breve visita pueblo maya actual habitante permiso entrada limitado ambiente trave programa fondo social administrado thomson localmente ser humilde interesantes tip top tomar manzana lapiz hotel nino encantar excursion terminar visita piscina cenote ser posible banar medio hora necesario despues extrem calor chichenitza resumen maravilloso dia altamente recomendado dispuesto agregar mas detalle si ser necesario,5
3015,3030,"Lo mejor de este hotel es su ubicación, te queda realmente cerca la Macroplaza y de ahí varios museos, caminamos prácticamente a todos lados. En cuanto al servicio: poco enfocados a servicio a huéspedes. Se llevaron las toallas cuando limpiaron el cuarto y no dejaron toallas nuevas (?). Llame para pedir toallas que se tardaron en llegar. Nos acostamos a descansar y luego volvieron con mas toallas, no escuche que tocaran mas que una vez y me estaba parando a abrir la puerta cuando la señorita ya estaba entrando a la habitación... Pésimo... El viernes en la noche otros huéspedes llegaron a tocar a mi habitación después de haber estado corriendo por el pasillo. Llame a recepción pero nadie contestó. Después de tocar en mi habitación les dije que no estaba ahí a quien buscaban y se_x_",2,795,13,1,toalla,mejor hotel ser ubicacion quedar realmente cerca macroplaza ahi varios museo caminar practicamente lado cuanto servicio enfocado servicio huesped llevar toalla limpiar cuarto dejar toalla nuevo llamar pedir toalla tardar llegar acostar descansar luego volver mas toalla escuchar tocar mas vez parar abrir puerta senorita entrar habitacion pesimo viernes noche huesped llegar tocar habitacion despues haber correr pasillo llamar recepcion nadie contestar despues tocar habitacion decir ahi buscar se_x _,1
6166,6219,"Espectacular la carta que te ofrecen es variada . La presentación de los platos es espectacular . Su carta de postres únicos de un sabor y prestación  
Sebastián nos atendió muy bien pendiente de cada necesidad  de cada uno de los comenzales 
No se lo...Más",5,257,12,0,espectacular,espectacular carta ofrecer ser variado presentacion plato ser espectacular carta postre unico sabor prestacion sebastion atender bien pendiente cada necesidad cada comenzal mar,5
714,715,"Ubicado en el centro histórico, es un lugar importante para conocer y para no dejar pasar. Digna de admirar la arquitectura y la gente es muy amable.",4,149,12,1,ser,ubicado centro historico ser lugar importante conocer dejar pasar digno admirar arquitectura gente ser amable,4
6313,6371,"Esta fue la mejor comida que comimos en un mes en Cuba! El macerado pollo era divina y la pizza era una maravilla! La limonada era slushy que fría y, que es lo que uno quiere en La Habana!!! El servicio era genial!",5,214,10,1,ser,ser mejor comida comer mes cuba macerado pollo ser divino pizza ser maravilla limonada ser slushy fria ser querer habana servicio ser genial,5
6758,6822,"Es una plaza que o tiene mucho contenido, pero llegas a ella a través de la calle oficios y queda de paso. Forma parte de un paseo.",3,131,10,1,ser,ser plaza tener contenido llegar trave calle oficio quedar paso formar parte paseo,3
276,276,"Hotel muy viejo y descuidado. Las recepcionistas dejaban mucho que desear, me sentía incómoda hasta de acercarme a pedir algo. He de decir que el baño estaba reformado y bastante bien. La habitación bastante vieja y un ascensor averiado. Por la mañana imposible bajar con el equipaje porque siempre va lleno!!!!  Ah, y no comprar tarjetas wifi, me cobraron a  CUC cuando en el resto de cuba las pague a ",2,405,14,0,viejo,hotel viejo descuidado recepcionista dejar desear sentir incomodar acercar pedir haber decir bano reformado bastante bien habitacion bastante viejo ascensor averiar manana imposible bajar equipaje siempre ir lleno ah comprar tarjeta wifi cobrar cuc resto cuba pagar,3
6247,6302,"Pedí un plato de chilaquiles y me los llevaron fríos sin aguacate que es lo tradicional y pedí pan blanco para acompañar, parecían piedras y para el costo es una atención horrible",1,179,11,1,pedir,pedir plato chilaquil llevar frio aguacate ser tradicional pedir pan blanco acompanar parecer piedra costo ser atencion horrible,2
3283,3301,"Bueno, rica comida, un poco oscuro. La mesera fue amable, un poco insistente en vendernos un show para otra ocasión.
Pero en general, bueno",3,139,13,2,buen,buen rico comida oscuro mesera ser amable insistente vender show ocasion general buen,4
4834,4871,"Excelente alternativa, variadas alternativas,buena atención, Miguel tuvo un trato muy deferente, buen vino",5,106,18,2,alternativa,excelente alternativa variado alternativa buen atencion miguel tener trato deferente buen vino,4
234,234,"El personal siempre se mostró muy atento y servicial. El viaje lo hice por cuestiones de negocios y el personal, en especial Jared, puso su máximo esfuerzo para que pudieramos salir a tiempo a nuesstras actividades.

El menú es variado, pero algunas veces se siente...como si estuviera recalentado. El lo personal, algunos días noté que la fruta la picaban con mucha anticipación, pues se veía reseca y con apariencia refrigerada. Además, se aprecia un uso de grasa en algunos alimentos excesivo para mi gusto.Más",3,513,16,1,personal,personal siempre mostrar atento servicial viaje hacer cuestión negocio personal especial jared poner maximo esfuerzo poder salir tiempo nuesstro actividad menu ser variar alguno vez sentir si recalentado personal alguno dia notar fruta picar anticipacion pues ver reseco apariencia refrigerado ademas apreciar uso grasa alguno alimento excesivo gusto ma,4
444,444,"El morro es bello. es un fuerte antiguo que abre a las  de la mañana, y la entrada cuesta  cuc.es facil llegar, se puede ir en autobus por unas poquitas monedas. una vez que termina de pasar el tunel hay que bajarse.no hay mucho que hacer alli.ver el lugar e irse. no vale la pena pagar por un taxi.",3,302,10,1,ser,morro ser bello ser fuerte antiguo abrir manana entrada costar cuc facil llegar poder ir autobus poquito moneda vez terminar pasar tunel haber bajar haber hacer alli ver lugar ir valer pena pagar taxi,4
1998,2006,"Excelente lugar, Recomendado al %, excelente servicio y hospitalidad genial, no dejen de visitarlo",5,101,12,1,excelente,excelente lugar recomendado excelente servicio hospitalidad genial dejar visitar,5
6084,6136,"La comida rica en general, servicio malo, ofrecen promociones y al final no las respetan y te cobran de más.",2,108,11,1,comida,comida rico general servicio malo ofrecer promoción final respetar cobrar mas,1
7555,7628,"Un entorno histórico bien conservado y encantador, solo le sobran la multitud de vendedores ambulantes que hay en las calles. Recomendable.",4,139,13,1,entorno,entorno historico bien conservar encantador solo sobrar multitud vendedor ambulante haber calle recomendable,5
4875,4912,"Esta es una plaza típica de una ciudad colonial mexicana, pero es hermosa. Muy grande y llena de árboles. Rodeado de restaurantes y otros comercios. ¡Lugar agradable!",5,166,12,1,ser,ser plaza tipico ciudad colonial mexicano ser hermoso grande lleno arbol rodeado restaurante comercio lugar agradable,5
946,947,"La comida es genial y el personal que trabaja allí, realmente inusual para encontrar tal nivel de atención al cliente en La Habana. No te lo pierdas!",4,149,9,1,comida,comida ser genial personal trabajar alli realmente inusual encontrar tal nivel atencion cliente habana perder,4
1513,1515,"Muy buen restaurante, vista inmejorable, la comida muy buena, por mejorar el servicio. Muy recomendado para negocios o en pareja para l cenaMás",4,143,12,1,buen,buen restaurante vista inmejorable comida buen mejorar servicio recomendado negocio pareja l cenama,4
1206,1208,"Aunque los empleados de la recepción de la Mañana son amables en las noches es otra historia el A/C no enfrió mucho los días q estuvimos ahí y solo enviaron a un empleado a decirnos que estaba en , aunque hacía calor fue un poco grosero.....::",2,245,14,1,ser,aunque empleado recepcion manana ser amable noche ser historia c enfriar dia q ahi solo enviar empleado decir aunque hacia calor ser grosero,3
4848,4885,"Entramos a tomarnos un canelazo, al salir nos dijeron que nos dirijieramos a la caja a pagar, pero por supuesto, al llegar a la caja le entregan a uno una cuenta exuberante por el cover de ,ooo pesos por cada persona, cover que ya están...Más",1,244,12,1,caja,entrar tomar canelazo salir decir dirijir caja pagar supuesto llegar caja entregar cuenta exuberante cover ooo peso cada persona cover ma,1
5049,5088,Es como estar en el corazon de caminito ...pero sumergidos en su cultura...que ahi esta mezclada bien la mezcla afro y criolla.No hay q ir con mucha expectativa....solo si les gusta este tipo de paseos.Paseo de  o  horas,4,222,19,1,paseo,ser corazon caminito sumergido cultura ahi mezclado bien mezcla afro criollo haber q ir expectativa solo si gustar tipo paseo paseo hora,5
6298,6354,"De todos mis viajes que e tenido este fue el mas malo e incomodo, no me esperaba que Veracruz estuviera sucio con malos olores a drenaje en el muelle o en las playas, la gente pensé que era mas cordial y hospitalaria, el hotel donde me toco hospedarme no fue muy bueno pero para la próxima tendré mas cuidado.",2,309,13,1,ser,viaje tener ser mas malo incomodo esperar veracruz sucio malo olor drenaje muelle playa gente pensar ser mas cordial hospitalario hotel tocar hospedar ser buen proxima tener mas cuidado,2
4282,4309,"Hace unos años fui a cuba y era un hermoso lugar, agradable.  Ahora es tan, pero tan excesivamente turístico que te atienden mal, los tragos disminuyeron en tamaño y aumentaron en precio.  A ningún ahora pude sentarme pues siempre estuvo llenísimo.

De todas formas, es...Más",3,275,14,0,ser,hacer ano ir cuba ser hermoso lugar agradable ahora ser excesivamente turistico atender mal trago disminuir tamano aumentar precio ninguno ahora poder sentar pues siempre llenisimo forma ma,3
2982,2997,"La colección permanente del museo esta interesante si les gusta el arte preohispanico.Las exposiciones temporales varían en calidad.La tienda del museo esta exageradamente cara.Lo que si es espectacular es la terraza, aunque sea por eso vale la visita.El cafecito es un poco caro pero bueno, lo atendien unas señoras muy amables, la soda de pepino esta buenísima. Lo único es que no se les ocurra hacerles ningún comentario o sugerencia por que ahí si les sale la fiera, a mi me maltraron bastante por que les dije que sería conveninete que pusieran un letrero de que no aceptan tarjetas de crédito.",4,599,17,1,ser,coleccion permanente museo interesante si gustar arte preohispanico exposición temporal variar calidad tienda museo exageradamente cara si ser espectacular ser terraza aunque ser valer visita cafecito ser caro buen atender senora amable soda pepino buenisimo unico ser ocurrir hacer ninguno comentario sugerencia ahi si salir fiera maltrar bastante decir serio conveninete poner letrero aceptar tarjeta credito,3
4046,4069,"No cumplen con lo que se ofrece en fotografías y descripción, los cuartos muy deteriorados, cortinas rotas, toallas percudidas, no hay lámparas en las mesas, la cortina de baño rota y el tubo de la cortina doblado y vencido, NO HAY AGUA CALIENTE, si tienes suerte puede tocarte tibia, esto lo expusimos varias veces y no fue atendido, nos dijeron que estaban trabajando el ello, la alberca FRÍA-CONGELADA, escogimos este hotel porque veníamos con niños, no fue posible usar la alberca porque no había manera con esa temperatura. Cuando llegamos nos comunicaron que NO HAY SERVICIO DE RESTAURANTE… así es que eso fue un gran inconveniente porque todos los alimentos los tuvimos que hacer fuera. Solamente tienen un elevador en uso, lo que hacía largas las esperas y bajar con bebés y…",2,783,15,1,haber,cumplir ofrecer fotografia descripcion cuarto deteriorado cortina romper toalla percudido haber lampara mesa cortina bano roto tubo cortina doblar vencido haber agua caliente si tener suerte poder tocar tibia exponer varios vez ser atender decir trabajar alberca fria congelado escoger hotel venir nino ser posible usar alberca haber manera temperatura llegar comunicar haber servicio restaurante asi ser ser gran inconveniente alimento tener hacer solamente tener elevador uso hacia largo espera bajar bebe,2
2403,2414,"Es un lugar muy padre entre zoológico y parque de diversiones. La experiencia es excelente para chicos y grandes. En cuanto a los precios, la verdad me parecieron muy bien en general, de la entrada a los souvenirs entendiendo que es un parque de entretenimiento claro, pero la pasé increíble, el lugar está divino, los animales en general llevan una buena vida, la comida en los restaurantes del parque es buena, una gran experiencia!",4,434,15,1,ser,ser lugar padre zoologico parque diversión experiencia ser excelente chico grande cuanto precio verdad parecer bien general entrada souvenir entender ser parque entretenimiento claro pase increible lugar divino animal general llevar buen vida comida restaurante parque ser buen gran experiencia,5
2438,2449,"Tuve la oportunidad de ir a La Embajada en dos ocasiones durante este mes de agosto de . Las dos visitas que realicé fueron a la hora de la comida : horas aproxiamdamente, la primera con amigos, la segunda con familia.

Me encanta este lugar,...Más",4,256,16,1,dos,tener oportunidad ir embajada dos ocasión mes agosto dos visita realizar ser hora comida hora aproxiamdamente primero amigo segundo familia encantar lugar ma,1
1071,1073,"Bien situado y buen desayuno. El resto pésimo, huele a humedad, tiene goteras cuando  llueve, las camas no están  muy limpias, los baños están  para tirar, sólo funcionan dos ascensores para  plantas. En general está  para  reformar enterito.",1,244,10,0,bien,bien situado buen desayuno resto pesimo holer humedad tener gotera llover cama limpio bano tirar solo funcionar dos ascensor planta general reformar enterito,3
3470,3488,"El hotel no es malo, en sí cuenta con buenas instalaciones, modernas, las habitaciones que considero son mejores, son las que están hacia adentro ya que en esas no se oye ruido, comparto la opinión de otros que las paredes son muy delgadas y se escucha lo que dicen en las habitaciones de al lado, el estacionamiento es algo que deberían ofrecer a los huéspedes pero no es así, hay que pagarlo y bueno, el trato del personal de recepción y en general es muy bueno, SÓLO con la excepción del Bell boy que de muy mala manera hace su trabajo, está a dos cuadras del centro histórico y me parece que es una sus mejores cualidades...",3,628,15,1,ser,hotel ser malo si contar buen instalación moderno habitación considerar ser mejor ser hacia adentro oír ruido compartir opinion pared ser delgado escuchar decir habitación lado estacionamiento ser deber ofrecer huesped ser asi haber pagar buen trato personal recepcion general ser buen solo excepcion bell boy malo manera hacer trabajo dos cuadra centro historico parecer ser mejor cualidad,3
2968,2983,"Pinso que el lugar tiene una buena intencion, pero no me gustó, salimos del salon de belleza y fuimos directo a la Guarida, con muchas ilusiones pues nos habian hablado muy bien del lugar, y comenzando la ubicacion del paladar, horrenda, super bulgar y creo...Más",2,263,10,1,lugar,pinso lugar tener buen intencion gusto salir salon belleza ir directo guarida ilusión pues haber hablar bien lugar comenzar ubicacion paladar horrendo super bulgar creer ma,4
1546,1548,"Este hotel de la Habana tiene una inmejorable situación ya que puedes recorrer toda la habana vieja dando un paseo y la mayoría de las cosas de interés están muy cerca. El hotel tiene  años y creo que nunca lo han reformado a simple vista se ve, las instalaciones comunes son super antiguas, en los pasillos hay goteras en las que ponen cubos en el suelo con una toalla de bajo para que el agua vaya cayendo y vi varios de estos cubos con el agua saliéndose ya que ni se molestaban en cambiarlos o vaciarlos o simplemente arreglar las goteras. Las habitaciones son muy muy viejas las ventanas la mayoría están rotas, los muebles antiquísimos y algunos también rotos, las camas no son muy incomodas se puede dormir bien, el baño más antiguo todavía y sucio muy sucio. En mi estancia me…",2,788,13,1,ser,hotel habana tener inmejorable situacion poder recorrer habana viejo dar paseo mayoria cosa inter cerca hotel tener ano creer nunca haber reformar simple vista ver instalación común ser super antiguo pasillo haber gotera poner cubo suelo toalla bajar agua ir caer ver varios cubo agua salir molestar cambiar vaciar simplemente arreglar gotera habitación ser viejo ventana mayoria romper mueble antiquisimo alguno tambien roto cama ser incomodo poder dormir bien bano mas antiguo todavio sucio sucio estancia,2
6529,6590,"Pésimo lugar, lo más horrible que hemos visitado! 
En primer lugar, mil años en dar la carta, casi me levanté yo por ella, después, más de  minutos en llevar el pedido, una simple botella de agua llegó después de  minutos de tomada la...Más",1,244,9,2,lugar,pesimo lugar mas horrible haber visitar primero lugar mil ano dar carta casi levantar despues mas minuto llevar pedido simple botella agua llegar despue minuto tomado mo,1
2868,2882,"Escondido al final de un pequeño callejón al lado de la Plaza de la Catedral, merece la pena. Los camareros de los otros restaurantes de la zona se intenta entrar en sus lugares, pero aguanta para Dona's. Éramos un grupo de  sin reserva y...nos dieron una mesa enseguida (alrededor de las  o'clock).  El servicio era excelente, al igual que las porciones generosas y deliciosas. Y el precio es justo! en general, el mejor restaurante que comimos en La Habana. Una visita obligada!Más",5,485,12,0,ser,escondido final pequeno callejon lado plaza catedral merecer pena camarero restaurante zona intentar entrar lugar aguantar dona ser grupo reserva dar mesa enseguida alrededor clock servicio ser excelente igual porción generoso delicioso precio ser justo general mejor restaurante comer habana visita obligado ma,5
3829,3852,"Es increíble lo que hemos hecho con este pequeño espacio! Siempre hay algo sucediendo - artesano puestos, muy buena cocina local que se sirve en un carrito de hot-dog, músicos tradicionales y calle bailes los sábados por la noche. Bien merece la pena una visita si quieres tomar parte en Yucatán la vida.",4,304,13,1,haber,ser increible haber hacer pequeno espacio siempre haber suceder artesano puesto buen cocina local servir carrito hot dog musico tradicional calle bail sabado noche bien merecer pena visita si querer tomar parte yucatan vida,5
4444,4473,"Hotel bueno aunque bastante antiguo. Habitaciones amplísimas, aunque como todo en Cuba, necesitan mejoras. Estuvimos en la planta  y las vistas eran espectaculares!! Los ascensores se averiaban a menudo, en general solo funcionaban dos y con ¡ascensorista! Los restaurantes bastante básicos, pero los bares muy buenos. Hall gigante y muy bonito",4,346,16,1,buen,hotel buen aunque bastante antiguo habitación amplisimo aunque cuba necesitar mejora planta vistas ser espectacular ascensor averiar menudo general solo funcionar dos ascensorista restaurante bastante basico bar buen hall gigante bonito,3
2209,2218,"Exente sitio ambiente muy ameno, música en vivo, , el vino es muy muy rico totalmente recomendado; volveré",5,106,12,1,exente,exente sitio ambiente ameno musica vivo vino ser rico totalmente recomendado volver,5
